GRB name,T100,Cat
GRB190727B,60.44,L
GRB190719C,202.4,L
GRB190718A,720.0,L
GRB190706B,51.58,L
GRB190701A,54.98,L
GRB190630C,52.15,L
GRB190630B,6.39,L
GRB190627A,2.96,L
GRB190613B,178.5,L
GRB190613A,19.7,L
GRB190611A,64.7,L
GRB190610A,0.74,S
GRB190604B,277.82,L
GRB190519A,58.1,L
GRB190515B,57.34,L
GRB190512A,53.0,L
GRB190511A,31.15,L
GRB190427A,0.32,S
GRB190424A,15.68,L
GRB190422A,353.1,L
GRB190331A,4.56,S
GRB190326A,0.1,Discarded
GRB190324A,58.02,L
GRB190320A,70.0,L
GRB190311A,24.13,L
GRB190220A,12.0,L
GRB190219A,194.24,L
GRB190211A,11.42,L
GRB190204A,60.65,L
GRB190203A,286.43,L
GRB190202A,28.22,L
GRB190123A,28.87,L
GRB190114C,709.41,L
GRB190114B,29.06,L
GRB190114A,73.18,L
GRB190110A,11.79,L
GRB190109B,7.57,L
GRB190109A,200.81,L
GRB190106A,96.74,L
GRB190103B,26.61,L
GRB181228A,341.92,L
GRB181224A,15.34,L
GRB181213A,16.35,L
GRB181203A,17.65,L
GRB181202A,7.01,L
GRB181126A,2.23,S
GRB181125A,11.42,L
GRB181123B,0.28,S
GRB181110A,239.11,L
GRB181103A,11.18,L
GRB181030A,439.81,L
GRB181027A,103.9,L
GRB181023A,65.96,L
GRB181022A,9.61,L
GRB181020A,272.65,L
GRB181016A,128.18,L
GRB181013A,105.6,L
GRB181010A,19.26,L
GRB181003A,29.2,L
GRB181002A,72.0,L
GRB180930A,7.45,L
GRB180925A,108.47,L
GRB180924A,111.02,L
GRB180905A,205.59,L
GRB180904A,6.28,L
GRB180828A,36.0,L
GRB180823A,109.58,L
GRB180821A,64.0,L
GRB180818B,156.32,L
GRB180818A,16.24,L
GRB180812A,17.47,L
GRB180809B,338.39,L
GRB180805B,126.63,L
GRB180805A,1.86,L
GRB180728A,36.76,L
GRB180727A,1.38,L
GRB180721A,49.31,L
GRB180720C,163.96,L
GRB180720B,531.54,L
GRB180718A,0.1,Discarded
GRB180715A,0.78,S
GRB180709A,223.12,L
GRB180706A,67.09,L
GRB180705A,132.78,L
GRB180704A,22.13,L
GRB180630A,30.38,L
GRB180626A,35.6,L
GRB180624A,549.15,L
GRB180623A,175.89,L
GRB180620B,321.8,L
GRB180620A,44.71,L
GRB180618A,56.38,L
GRB180614A,7.8,L
GRB180613A,57.25,L
GRB180602A,69.62,L
GRB180514A,36.96,L
GRB180512A,26.0,L
GRB180510B,157.02,L
GRB180510A,80.0,L
GRB180504A,177.98,L
GRB180425A,13.7,L
GRB180418A,7.07,L
GRB180411A,107.74,L
GRB180410A,134.04,L
GRB180407A,127.68,L
GRB180404B,202.19,L
GRB180404A,46.63,L
GRB180402A,0.21,S
GRB180331B,83.81,L
GRB180331A,48.0,L
GRB180329B,267.07,L
GRB180329A,40.0,L
GRB180325A,107.9,L
GRB180324A,9.02,S
GRB180316A,117.0,L
GRB180314B,63.06,L
GRB180314A,121.55,L
GRB180311A,26.82,L
GRB180224A,15.04,L
GRB180222A,55.81,L
GRB180221A,13.0,L
GRB180205A,17.91,L
GRB180204A,1.34,S
GRB180115A,43.76,L
GRB180113A,80.0,L
GRB180111A,69.88,L
GRB180103A,174.4,L
GRB180102A,13.92,L
GRB171222A,202.08,L
GRB171216A,33.92,L
GRB171212A,400.0,L
GRB171211A,2.61,L
GRB171209A,299.19,L
GRB171205A,240.02,L
GRB171123A,61.68,L
GRB171120A,80.0,L
GRB171115A,39.71,L
GRB171103A,5.04,S
GRB171102B,20.78,L
GRB171027A,131.08,L
GRB171020A,47.62,L
GRB171011A,2.8,L
GRB171010B,32.0,L
GRB171007A,83.5,L
GRB171004A,126.39,L
GRB171001A,22.17,L
GRB170921A,34.82,L
GRB170912B,40.32,L
GRB170912A,27.52,L
GRB170906C,76.54,L
GRB170906B,19.2,L
GRB170906A,167.62,L
GRB170903A,35.7,L
GRB170827A,159.73,L
GRB170823A,87.66,L
GRB170822A,80.0,L
GRB170813A,86.25,L
GRB170810A,182.07,L
GRB170807A,52.67,L
GRB170804A,76.95,L
GRB170803A,4.84,L
GRB170728B,50.62,L
GRB170728A,1.42,L
GRB170724A,109.25,L
GRB170714A,538.59,L
GRB170711A,46.99,L
GRB170710B,59.2,L
GRB170710A,36.62,L
GRB170705A,310.85,L
GRB170629A,40.53,L
GRB170626A,39.27,L
GRB170607A,352.0,L
GRB170604A,30.5,L
GRB170531B,181.32,L
GRB170531A,39.04,L
GRB170526A,8.79,L
GRB170524B,49.6,L
GRB170524A,0.12,S
GRB170519A,231.46,L
GRB170516A,51.07,L
GRB170428A,0.3,S
GRB170419B,86.95,L
GRB170419A,8.96,L
GRB170405A,269.6,L
GRB170331A,19.94,L
GRB170330A,151.84,L
GRB170325A,0.39,S
GRB170318B,1.14,S
GRB170318A,167.85,L
GRB170317A,18.61,L
GRB170311A,10.0,L
GRB170307A,69.89,L
GRB170306A,26.32,L
GRB170208B,177.5,L
GRB170208A,8.1,L
GRB170206B,15.94,L
GRB170205A,47.82,L
GRB170203A,49.02,L
GRB170202A,76.21,L
GRB170131A,,Discarded
GRB170127B,0.59,S
GRB170127A,73.76,L
GRB170126A,11.65,L
GRB170115A,49.55,L
GRB170113A,23.54,L
GRB170112A,0.06,Discarded
GRB170111A,38.91,L
GRB170101A,10.14,L
GRB161224A,52.72,L
GRB161220A,7.89,L
GRB161219B,8.91,L
GRB161218A,15.9,L
GRB161217A,15.88,L
GRB161214B,31.25,L
GRB161202A,129.2,L
GRB161129A,44.53,L
GRB161117B,163.9,L
GRB161117A,160.43,L
GRB161113A,58.72,L
GRB161108A,128.66,L
GRB161105A,248.12,L
GRB161104A,0.12,S
GRB161022A,7.68,L
GRB161017A,246.7,L
GRB161014A,27.0,L
GRB161011A,4.87,L
GRB161007A,242.96,L
GRB161004B,32.47,L
GRB161004A,1.42,L
GRB161001A,3.32,L
GRB160927A,0.56,S
GRB160917A,15.61,L
GRB160912A,244.2,L
GRB160905A,112.0,L
GRB160827A,19.84,L
GRB160826A,57.76,L
GRB160824A,112.24,L
GRB160821B,0.54,S
GRB160821A,117.78,L
GRB160819A,73.6,L
GRB160815A,11.6,L
GRB160804A,222.01,L
GRB160801A,3.17,L
GRB160726A,0.78,S
GRB160716A,7.16,L
GRB160714A,0.37,S
GRB160712A,54.06,L
GRB160709A,4.8,S
GRB160705B,69.62,L
GRB160703A,79.73,L
GRB160630A,36.3,L
GRB160625A,62.45,L
GRB160624A,0.26,S
GRB160623A,,Discarded
GRB160612A,0.31,S
GRB160611A,44.9,L
GRB160607A,58.63,L
GRB160601A,0.14,S
GRB160525B,0.32,S
GRB160525A,,Discarded
GRB160519A,42.14,L
GRB160506A,345.11,L
