GRB name,T90,Type
GRB190727B,39.2,L
GRB190719C,185.83,L
GRB190718A,704.0,L
GRB190706B,43.58,L
GRB190701A,52.43,L
GRB190630C,38.38,L
GRB190630B,5.57,L
GRB190627A,2.69,L
GRB190613B,160.82,L
GRB190613A,17.63,L
GRB190611A,41.76,L
GRB190610A,0.63,S
GRB190604B,220.18,L
GRB190519A,44.48,L
GRB190515B,46.51,L
GRB190512A,40.07,L
GRB190511A,27.66,L
GRB190427A,0.19,S
GRB190424A,9.84,L
GRB190422A,269.02,L
GRB190331A,4.34,S
GRB190326A,0.08,Discarded
GRB190324A,22.78,L
GRB190320A,63.0,L
GRB190311A,13.95,L
GRB190220A,10.0,L
GRB190219A,167.74,L
GRB190211A,10.9,L
GRB190204A,26.32,L
GRB190203A,86.56,L
GRB190202A,16.0,L
GRB190123A,25.12,L
GRB190114C,374.72,L
GRB190114B,26.49,L
GRB190114A,67.1,L
GRB190110A,9.3,L
GRB190109B,6.51,L
GRB190109A,115.01,L
GRB190106A,78.1,L
GRB190103B,19.52,L
GRB181228A,255.15,L
GRB181224A,12.49,L
GRB181213A,15.3,L
GRB181203A,15.06,L
GRB181202A,6.56,L
GRB181126A,2.09,S
GRB181125A,10.51,L
GRB181123B,0.26,S
GRB181110A,138.42,L
GRB181103A,9.17,L
GRB181030A,303.2,L
GRB181027A,81.3,L
GRB181023A,56.98,L
GRB181022A,7.94,L
GRB181020A,238.02,L
GRB181016A,111.34,L
GRB181013A,104.21,L
GRB181010A,15.56,L
GRB181003A,25.49,L
GRB181002A,63.41,L
GRB180930A,6.8,L
GRB180925A,82.63,L
GRB180924A,94.82,L
GRB180905A,165.34,L
GRB180904A,4.63,L
GRB180828A,13.0,L
GRB180823A,80.3,L
GRB180821A,64.0,L
GRB180818B,137.46,L
GRB180818A,13.71,L
GRB180812A,16.53,L
GRB180809B,233.24,L
GRB180805B,122.24,L
GRB180805A,1.68,L
GRB180728A,8.68,L
GRB180727A,1.06,L
GRB180721A,47.6,L
GRB180720C,122.99,L
GRB180720B,108.4,L
GRB180718A,0.08,Discarded
GRB180715A,0.68,S
GRB180709A,194.81,L
GRB180706A,42.44,L
GRB180705A,106.78,L
GRB180704A,19.66,L
GRB180630A,18.96,L
GRB180626A,30.1,L
GRB180624A,466.65,L
GRB180623A,114.88,L
GRB180620B,223.97,L
GRB180620A,22.95,L
GRB180618A,47.42,L
GRB180614A,7.09,L
GRB180613A,50.82,L
GRB180602A,53.2,L
GRB180514A,31.16,L
GRB180512A,24.0,L
GRB180510B,134.02,L
GRB180510A,64.0,L
GRB180504A,115.26,L
GRB180425A,11.9,L
GRB180418A,4.41,L
GRB180411A,77.98,L
GRB180410A,114.8,L
GRB180407A,100.63,L
GRB180404B,111.71,L
GRB180404A,36.28,L
GRB180402A,0.18,S
GRB180331B,78.03,L
GRB180331A,48.0,L
GRB180329B,213.54,L
GRB180329A,36.0,L
GRB180325A,92.83,L
GRB180324A,7.22,S
GRB180316A,87.0,L
GRB180314B,55.42,L
GRB180314A,50.46,L
GRB180311A,23.04,L
GRB180224A,10.92,L
GRB180222A,42.3,L
GRB180221A,11.0,L
GRB180205A,15.54,L
GRB180204A,1.16,S
GRB180115A,39.14,L
GRB180113A,64.0,L
GRB180111A,50.89,L
GRB180103A,150.4,L
GRB180102A,11.56,L
GRB171222A,173.87,L
GRB171216A,30.08,L
GRB171212A,304.0,L
GRB171211A,2.18,L
GRB171209A,161.65,L
GRB171205A,190.47,L
GRB171123A,58.46,L
GRB171120A,64.0,L
GRB171115A,36.77,L
GRB171103A,4.27,S
GRB171102B,18.88,L
GRB171027A,96.77,L
GRB171020A,41.86,L
GRB171011A,2.28,L
GRB171010B,30.4,L
GRB171007A,68.42,L
GRB171004A,105.54,L
GRB171001A,20.92,L
GRB170921A,28.8,L
GRB170912B,17.88,L
GRB170912A,21.18,L
GRB170906C,45.08,L
GRB170906B,19.2,L
GRB170906A,88.11,L
GRB170903A,27.72,L
GRB170827A,98.62,L
GRB170823A,69.41,L
GRB170822A,64.0,L
GRB170813A,72.54,L
GRB170810A,152.42,L
GRB170807A,36.32,L
GRB170804A,56.48,L
GRB170803A,3.82,L
GRB170728B,47.68,L
GRB170728A,1.25,L
GRB170724A,98.98,L
GRB170714A,459.22,L
GRB170711A,31.21,L
GRB170710B,54.4,L
GRB170710A,33.12,L
GRB170705A,223.2,L
GRB170629A,34.43,L
GRB170626A,12.95,L
GRB170607A,320.0,L
GRB170604A,26.53,L
GRB170531B,170.3,L
GRB170531A,32.3,L
GRB170526A,8.31,L
GRB170524B,46.4,L
GRB170524A,0.1,S
GRB170519A,220.25,L
GRB170516A,36.77,L
GRB170428A,0.2,S
GRB170419B,65.86,L
GRB170419A,7.78,L
GRB170405A,165.31,L
GRB170331A,17.62,L
GRB170330A,144.47,L
GRB170325A,0.33,S
GRB170318B,1.07,S
GRB170318A,116.92,L
GRB170317A,11.95,L
GRB170311A,9.0,L
GRB170307A,29.92,L
GRB170306A,21.01,L
GRB170208B,128.14,L
GRB170208A,7.45,L
GRB170206B,13.36,L
GRB170205A,26.13,L
GRB170203A,45.9,L
GRB170202A,37.76,L
GRB170131A,,Discarded
GRB170127B,0.51,S
GRB170127A,67.38,L
GRB170126A,9.54,L
GRB170115A,32.04,L
GRB170113A,20.3,L
GRB170112A,0.06,Discarded
GRB170111A,29.88,L
GRB170101A,3.1,L
GRB161224A,47.38,L
GRB161220A,7.22,L
GRB161219B,6.93,L
GRB161218A,7.2,L
GRB161217A,12.04,L
GRB161214B,24.9,L
GRB161202A,118.5,L
GRB161129A,35.54,L
GRB161117B,152.31,L
GRB161117A,125.7,L
GRB161113A,43.46,L
GRB161108A,115.84,L
GRB161105A,177.7,L
GRB161104A,0.1,S
GRB161022A,7.25,L
GRB161017A,217.05,L
GRB161014A,23.0,L
GRB161011A,4.28,L
GRB161007A,157.69,L
GRB161004B,15.72,L
GRB161004A,1.32,L
GRB161001A,2.6,L
GRB160927A,0.49,S
GRB160917A,14.52,L
GRB160912A,207.31,L
GRB160905A,64.0,L
GRB160827A,14.05,L
GRB160826A,52.62,L
GRB160824A,99.33,L
GRB160821B,0.48,S
GRB160821A,112.64,L
GRB160819A,67.2,L
GRB160815A,8.57,L
GRB160804A,152.74,L
GRB160801A,2.85,L
GRB160726A,0.73,S
GRB160716A,6.39,L
GRB160714A,0.35,S
GRB160712A,44.53,L
GRB160709A,4.8,S
GRB160705B,54.58,L
GRB160703A,45.01,L
GRB160630A,29.55,L
GRB160625A,53.92,L
GRB160624A,0.19,S
GRB160623A,,Discarded
GRB160612A,0.25,S
GRB160611A,35.12,L
GRB160607A,33.49,L
GRB160601A,0.12,S
GRB160525B,0.29,S
GRB160525A,,Discarded
GRB160519A,35.62,L
GRB160506A,260.53,L
GRB160504A,53.96,L
GRB160501A,,Discarded
GRB160425A,304.6,L
GRB160424A,6.46,L
GRB160419A,9.42,L
GRB160417A,14.55,L
GRB160412A,32.18,L
GRB160411A,0.36,S
GRB160410A,96.0,L
GRB160409A,48.0,Discarded
GRB160408A,0.32,S
GRB160327A,33.74,L
GRB160325A,61.72,L
GRB160321A,33.48,L
GRB160314A,8.73,L
GRB160313A,41.54,L
GRB160303A,4.98,S
GRB160228A,98.91,L
GRB160227A,316.35,L
GRB160225A,157.46,L
GRB160223A,134.86,L
GRB160220B,31.12,L
GRB160220A,8.26,L
GRB160216A,11.0,L
GRB160203A,17.44,L
GRB160131A,327.75,L
GRB160127A,6.16,L
GRB160123A,3.95,L
GRB160121A,10.5,L
GRB160119A,120.14,L
GRB160117B,11.54,L
GRB160117A,137.0,L
GRB160104A,16.56,L
GRB151229A,1.44,L
GRB151228B,48.0,L
GRB151228A,0.28,S
GRB151215A,17.85,L
GRB151210A,86.96,L
GRB151205B,1.44,L
GRB151205A,64.0,L
GRB151127A,0.19,S
GRB151122A,36.8,L
GRB151118A,23.57,L
GRB151114A,4.86,Discarded
GRB151112A,58.86,Discarded
GRB151111A,76.04,Discarded
GRB151107A,,Discarded
GRB151031A,5.0,L
GRB151029A,8.95,L
GRB151027B,80.0,L
GRB151027A,129.58,L
GRB151023A,10.76,L
GRB151022A,117.68,L
GRB151021A,110.06,L
GRB151006A,211.06,L
GRB151004A,137.27,L
GRB151001B,131.52,L
GRB151001A,9.83,L
GRB150925A,122.13,L
GRB150915A,160.0,L
GRB150911A,7.14,L
GRB150910A,112.27,L
GRB150907B,62.02,L
GRB150901A,64.0,L
GRB150831B,6.18,L
GRB150831A,0.92,S
GRB150821A,168.94,L
GRB150819A,51.66,L
GRB150818A,143.06,L
GRB150817A,38.0,L
GRB150811A,31.52,L
GRB150801B,408.71,L
GRB150728A,0.83,S
GRB150727A,87.96,L
GRB150724A,280.01,L
GRB150722A,67.31,L
GRB150720A,238.54,L
GRB150716A,42.57,L
GRB150711A,70.96,L
GRB150710B,,Discarded
GRB150710A,0.15,S
GRB150626B,48.0,L
GRB150626A,97.26,L
GRB150616A,608.41,L
GRB150615A,32.68,L
GRB150607A,25.99,L
GRB150530B,3.0,L
GRB150530A,6.9,L
